,Total Reserves excluding Gold (USD),"Official Reserve Assets, SDRs (USD)","Official Reserve Assets, IMF Reserve Position (USD)","Total Reserves excluding Gold, Foreign Exchange (USD)",Gold Holdings (USD),"Claims on Non-residents, International Liquidity (USD)","Liabilities To Non-residents, International Liquidity (USD)","Claims on Non-residents, Other Survey (USD)","Liabilities to Non-residents, Other Survey (USD)"
2008M01,29884.51,355.81,1.92,29526.78,3690.37,10.76,2409.16,51547.61,37752.29
2008M02,30304.31,359.26,2.01,29943.04,3865.99,10.19,2173.78,59702.31,45927.67
2008M03,30615.42,366.83,2.05,30246.54,3744.98,9.04,1808.06,56448.18,42565.17
2008M04,30763.42,362.18,2.03,30399.21,3483.85,9.53,2197.45,55534.75,43342.7
2008M05,30831.43,361.52,2.1,30467.81,3540.06,9.55,2139.84,57682.89,46533.13
2008M06,31102.67,364.41,2.12,30736.15,3716.73,9.2,1738.83,59080.19,47366.49
2008M07,31299.82,361.57,2.1,30936.15,3665.69,9.68,1952.27,54258.57,44740.78
2008M08,30966.32,350.22,2.09,30614.02,3330.2,9.3,1557.95,49661.08,41108.47
2008M09,30832.17,347.4,2.07,30482.71,3559.25,9.05,1135.06,50309.76,40608.04
2008M10,29934.99,332.02,1.98,29600.99,2943.46,7.28,1190.96,55934.07,48338.35
2008M11,29938.41,331.97,2.0,29604.44,3249.51,7.2,936.56,54700.75,43913.7
2008M12,30583.54,343.64,2.07,30237.83,3484.8,7.92,1028.3,56996.35,48065.7
2009M01,30012.33,335.99,2.03,29674.31,3696.32,7.29,948.74,53435.7,46028.49
2009M02,29931.76,327.39,1.99,29602.39,3819.65,7.47,964.47,50953.92,43800.44
2009M03,30375.93,333.57,2.02,30040.34,3704.59,7.7,933.92,51463.15,44624.8
2009M04,30475.88,334.16,2.09,30139.63,3538.45,8.59,1099.79,52079.72,46358.49
2009M05,31904.53,345.37,2.18,31556.98,3904.85,9.22,1038.97,55650.92,47600.68
2009M06,31949.14,346.3,2.19,31600.65,3774.09,9.54,1169.5,53382.51,45023.13
2009M07,31961.16,346.55,2.19,31612.43,3750.06,9.52,1611.56,53053.83,44346.3
2009M08,34122.54,2518.6,2.27,31601.67,3797.68,9.46,1227.55,53045.78,43512.0
2009M09,35086.63,2833.1,2.32,32251.21,4028.59,9.96,845.58,52800.41,44579.34
2009M10,35566.96,2842.97,2.33,32721.66,4186.85,9.69,744.79,52536.14,42245.6
2009M11,35752.14,2879.26,2.36,32870.52,4695.37,10.12,756.7,53759.07,43151.83
2009M12,35237.42,2803.28,2.3,32431.84,4438.04,9.85,805.02,51249.87,42138.66
2010M01,35091.14,2779.14,2.28,32309.73,4354.64,9.7,1235.49,50152.41,43232.92
2010M02,34953.14,2740.5,2.27,32210.37,4453.44,9.55,1119.93,49504.14,41813.88
2010M03,37496.38,2714.86,2.25,34779.28,4467.94,10.12,852.13,52713.3,43300.27
2010M04,37592.06,2702.1,2.24,34887.72,4713.94,9.81,961.26,46187.14,38142.94
2010M05,37039.49,2636.32,2.25,34400.92,4932.35,9.42,1061.72,44620.41,36636.05
2010M06,37202.25,2644.49,2.26,34555.5,4969.27,9.46,604.22,44334.58,35813.43
2010M07,38397.55,2715.34,2.32,35679.89,4714.86,9.91,518.98,49978.31,39806.39
2010M08,38122.98,2698.16,2.3,35422.52,4969.66,9.72,429.33,50676.87,40939.33
2010M09,38764.94,2782.7,2.44,35979.8,5268.45,10.39,554.66,54376.69,44604.17
2010M10,38750.68,2810.6,2.54,35937.54,5414.24,10.46,512.74,57311.57,46010.41
2010M11,37833.38,2728.33,2.46,35102.59,5511.7,10.26,404.79,56069.63,41962.31
2010M12,38175.05,2753.81,2.49,35418.75,5653.61,11.09,599.99,57520.1,46846.9
2011M01,40133.72,2792.99,2.52,37338.21,5336.03,10.3,692.53,50316.89,38188.05
2011M02,41638.89,2812.86,2.54,38823.5,5678.29,9.92,696.39,50143.68,38989.57
2011M03,43511.72,2835.12,2.62,40673.98,5756.12,10.34,461.72,49810.52,38537.52
2011M04,44426.27,2898.49,2.68,41525.1,6177.08,10.58,873.1,51744.77,43144.51
2011M05,43965.99,2862.39,2.64,41100.96,6168.7,10.22,194.31,48178.28,36759.22
2011M06,43984.07,2861.82,2.73,41119.51,6059.77,10.32,805.61,49601.15,36681.14
2011M07,43610.64,2859.23,2.82,40748.6,6497.65,10.49,761.15,49237.23,37082.86
2011M08,44113.42,2877.76,2.84,41232.82,7340.79,10.09,523.07,54918.87,40536.41
2011M09,43208.21,2792.39,2.84,40412.98,6513.62,8.82,424.59,54386.16,40759.54
2011M10,43261.3,2835.81,2.89,40422.61,6880.63,9.19,625.25,57269.67,41976.72
2011M11,42759.1,2774.41,2.82,39981.87,6887.14,8.26,522.98,56595.92,40230.66
2011M12,42595.18,2745.28,2.79,39847.11,6272.44,8.85,586.54,57421.87,40289.15
2012M01,44467.93,2773.55,2.82,41691.56,6991.11,8.73,655.49,56477.11,40552.47
2012M02,44714.3,2782.38,2.83,41929.08,7176.57,9.1,572.33,53818.26,41986.03
2012M03,43982.33,2769.99,2.82,41209.52,6701.22,8.85,409.96,51010.36,38320.04
2012M04,43275.44,2772.57,56.63,40446.24,6667.67,8.69,901.69,50082.47,37507.18
2012M05,42625.59,2700.53,55.15,39869.9,6278.4,7.89,526.87,53101.65,38519.72
2012M06,42916.99,2713.57,55.42,40148.0,6381.63,8.13,694.47,56473.16,38784.66
2012M07,42866.76,2697.08,55.16,40114.52,6529.62,8.18,916.41,59580.98,40948.89
2012M08,43315.26,2721.56,58.86,40534.84,6678.8,7.91,641.19,55512.44,37540.41
2012M09,43849.17,2757.64,59.64,41031.89,7138.42,8.13,622.58,56157.21,38714.18
2012M10,43754.14,2754.75,59.57,40939.82,6919.81,7.7,709.75,53857.0,37669.63
2012M11,43854.94,2744.46,64.6,41045.88,6959.09,7.6,715.3,56471.36,40555.73
2012M12,43995.47,2748.23,64.69,41182.55,6702.91,7.84,749.95,53199.07,41166.55
2013M01,44489.79,2756.14,68.27,41665.38,6739.86,7.43,1356.08,52183.81,38708.71
2013M02,43979.42,2708.74,66.34,41204.34,6393.74,7.44,1051.0,52559.15,38687.58
2013M03,43569.15,2680.8,65.65,40822.69,6446.06,7.21,740.37,50131.49,36528.21
2013M04,44599.14,2698.73,87.22,41813.19,5935.3,7.35,1337.5,52676.97,39261.13
2013M05,42500.33,2680.02,85.63,39734.67,5661.27,6.49,769.51,50652.07,34929.46
2013M06,41819.99,2689.31,89.24,39041.45,4770.02,6.61,627.17,50287.92,34275.14
2013M07,42181.91,2708.58,97.86,39375.47,5333.49,6.72,900.15,51183.93,33397.76
2013M08,42348.37,2709.56,97.89,39540.92,5625.6,6.35,567.92,51286.94,33482.24
2013M09,44731.07,2743.18,139.6,41848.29,5359.56,6.53,418.43,48958.91,31717.84
2013M10,44911.48,2760.09,148.18,42003.2,5390.88,6.6,777.29,47736.97,31683.49
2013M11,44595.01,2745.21,166.27,41683.53,5044.26,6.45,607.68,47307.98,31710.97
2013M12,44863.68,2753.78,166.78,41943.12,4825.69,6.25,712.37,47665.56,32826.43
2014M01,44418.4,2743.4,164.47,41510.53,5024.68,5.81,1024.4,51744.9,38981.84
2014M02,44902.35,2767.03,165.94,41969.38,5343.9,6.06,730.83,48945.21,37369.87
2014M03,44347.26,2763.86,166.47,41416.93,5204.76,6.17,520.89,50472.3,36528.16
2014M04,44442.62,2771.1,166.96,41504.55,5207.93,6.18,1057.84,47586.21,35452.0
2014M05,44454.41,2755.19,180.33,41518.89,5059.03,6.22,514.72,48328.47,34287.81
2014M06,43478.65,2764.33,192.37,40521.95,5283.52,6.13,883.59,50256.29,35410.82
2014M07,44810.35,2738.26,187.49,41884.6,5194.59,6.06,1109.79,47220.84,36330.45
2014M08,44591.7,2715.16,185.91,41690.64,5173.17,6.11,909.24,46672.03,36411.12
2014M09,44267.1,2651.14,194.12,41421.83,4859.99,5.75,1075.41,47296.49,37453.26
2014M10,43974.38,2643.54,193.57,41137.27,4696.9,5.91,1239.99,48172.77,39104.62
2014M11,44009.21,2618.35,189.14,41201.71,4792.64,5.85,1086.42,48942.91,40669.11
2014M12,44267.43,2590.76,183.53,41493.14,4825.76,5.55,1079.59,47696.17,41481.17
2015M01,42525.03,2521.0,178.58,39825.45,5085.79,5.54,1507.6,50065.45,44996.92
2015M02,42306.4,2516.7,173.63,39616.07,4868.13,5.52,1207.63,48861.83,42413.94
2015M03,41656.54,2466.81,178.75,39010.99,4778.51,5.25,790.08,49255.7,42003.42
2015M04,42175.37,2514.92,182.23,39478.21,4850.09,5.4,1343.7,49201.22,41124.13
2015M05,41657.85,2486.47,180.17,38991.22,4781.87,5.24,1001.08,48646.11,39163.97
2015M06,42112.02,2514.88,180.82,39416.31,4717.52,5.21,1133.25,50123.65,36378.79
2015M07,41450.93,2493.98,176.02,38780.93,4369.81,5.01,910.4,47859.37,35912.45
2015M08,41525.55,2510.26,200.33,38814.96,4540.57,4.73,864.17,47123.54,36880.63
2015M09,41610.74,2510.15,201.03,38899.56,4509.94,4.56,880.89,48222.98,37716.63
2015M10,41430.85,2497.86,221.0,38711.99,4619.35,4.57,855.36,45184.8,36518.11
2015M11,40884.1,2453.71,217.09,38213.3,4252.75,4.32,896.57,44665.59,39004.7
2015M12,41619.5,2477.96,218.68,38922.87,4290.27,4.03,691.03,48052.53,40522.44
2016M01,40623.86,2468.6,217.85,37937.4,4484.78,3.9,1021.61,47457.7,40852.15
2016M02,40767.66,2061.65,623.95,38082.06,4959.5,3.9,723.82,44385.44,37841.0
2016M03,41797.67,2102.71,636.38,39058.59,4968.09,4.24,892.9,45150.74,37640.22
2016M04,41519.36,2115.32,638.38,38765.66,5116.45,239.15,1037.44,43661.91,35580.2
2016M05,41058.49,2093.76,631.87,38332.86,4868.61,120.51,697.37,41777.61,33295.94
2016M06,40944.64,2087.73,660.55,38196.36,5304.05,103.38,867.88,42672.92,34484.93
2016M07,40722.48,2079.58,657.97,37984.93,5388.08,91.03,1147.94,45513.71,36602.61
2016M08,40386.63,2081.03,658.42,37647.18,5280.78,72.21,819.14,44745.39,35275.75
2016M09,41839.13,2083.22,669.17,39086.74,5319.58,4.43,1805.54,43730.93,37174.33
2016M10,41829.75,2050.45,658.68,39120.62,5022.34,4.53,979.12,46790.14,35149.87
2016M11,42222.02,2020.48,649.05,39552.49,4773.73,4.38,916.45,44136.56,35709.57
2016M12,42565.58,2006.41,644.53,39914.65,4663.21,4.46,823.86,42378.54,35331.46
2017M01,41755.92,2028.05,651.48,39076.39,4854.71,4.56,927.93,42222.78,36126.45
2017M02,41627.64,2020.76,649.11,38957.76,5049.53,4.61,822.47,42247.11,38119.57
2017M03,41546.17,2025.18,650.53,38870.46,4997.74,4.55,586.82,42597.33,36252.55
2017M04,41541.32,2046.26,655.95,38839.11,5094.05,4.55,1107.63,40520.11,34028.76
2017M05,42104.07,2066.24,662.36,39375.47,5099.69,4.48,892.44,41016.58,34159.76
2017M06,42297.87,2076.79,662.96,39558.12,5007.26,4.56,991.4,42130.97,33235.58
2017M07,41636.04,2101.21,665.83,38869.0,5110.0,4.51,1515.65,44653.13,34924.21
2017M08,41660.38,2109.84,661.54,38889.0,5262.0,4.52,848.3,43768.32,33965.83
2017M09,44195.19,2109.7,661.5,41424.0,5189.0,4.4,931.74,44318.4,34351.03
2017M10,43771.47,2096.84,656.62,41018.0,5131.0,4.2,929.75,44003.77,34206.03
2017M11,45139.19,2113.05,654.14,42372.0,5158.0,4.35,874.07,42813.27,32917.8
2017M12,45499.29,2126.06,638.23,42735.0,5223.0,4.78,873.29,47101.71,37918.26
